ID,Name,Research
263,Robot Hat,1
264,Gold Crown,1
265,Hellfire Arrow,99
266,Sandgun,1
267,Guide Voodoo Doll,1
268,Diving Helmet,1
269,Familiar Shirt,1
270,Familiar Pants,1
271,Familiar Wig,1
272,Demon Scythe,1
273,Night's Edge,1
274,Dark Lance,1
275,Coral,25
276,Cactus,100
277,Trident,1
278,Silver Bullet,99
279,Throwing Knife,99
280,Spear,1
281,Blowpipe,1
282,Glowstick,100
283,Seed,99
284,Wooden Boomerang,1
285,Aglet,1
286,Sticky Glowstick,100
287,Poisoned Knife,99
288,Obsidian Skin Potion,20
289,Regeneration Potion,20
290,Swiftness Potion,20
291,Gills Potion,20
292,Ironskin Potion,20
293,Mana Regeneration Potion,20
294,Magic Power Potion,20
295,Featherfall Potion,20
296,Spelunker Potion,20
297,Invisibility Potion,20
298,Shine Potion,20
299,Night Owl Potion,20
300,Battle Potion,20
301,Thorns Potion,20
302,Water Walking Potion,20
303,Archery Potion,20
304,Hunter Potion,20
305,Gravitation Potion,20
306,Gold Chest,1
307,Daybloom Seeds,25
308,Moonglow Seeds,25
309,Blinkroot Seeds,25
310,Deathweed Seeds,25
311,Waterleaf Seeds,25
312,Fireblossom Seeds,25
313,Daybloom,25
314,Moonglow,25
315,Blinkroot,25
316,Deathweed,25
317,Waterleaf,25
318,Fireblossom,25
319,Shark Fin,25
320,Feather,25
321,Tombstone,2
322,Mime Mask,1
323,Antlion Mandible,5
324,Illegal Gun Parts,1
325,The Doctor's Shirt,1
326,The Doctor's Pants,1
327,Golden Key,3
328,Shadow Chest,1
329,Shadow Key,1
330,Obsidian Brick Wall,400
331,Jungle Spores,25
332,Loom,1
333,Piano,1
334,Dresser,1
335,Bench,1
336,Bathtub,1
337,Red Banner,1
338,Green Banner,1
339,Blue Banner,1
340,Yellow Banner,1
341,Lamp Post,1
342,Tiki Torch,1
343,Barrel,1
344,Chinese Lantern,1
345,Cooking Pot,1
346,Safe,1
347,Skull Lantern,1
348,Trash Can,1
349,Candelabra,1
350,Pink Vase,1
351,Mug,1
352,Keg,1
353,Ale,20
354,Bookcase,1
355,Throne,1
356,Bowl,1
357,Bowl of Soup,5
358,Toilet,1
359,Grandfather Clock,1
360,Armor Statue,1
361,Goblin Battle Standard,3
362,Tattered Cloth,25
363,Sawmill,1
364,Cobalt Ore,100
365,Mythril Ore,100
366,Adamantite Ore,100
367,Pwnhammer,1
368,Excalibur,1
369,Hallowed Seeds,25
370,Ebonsand Block,100
371,Cobalt Hat,1
372,Cobalt Helmet,1
373,Cobalt Mask,1
374,Cobalt Breastplate,1
375,Cobalt Leggings,1
376,Mythril Hood,1
377,Mythril Helmet,1
378,Mythril Hat,1
379,Mythril Chainmail,1
380,Mythril Greaves,1
381,Cobalt Bar,25
382,Mythril Bar,25
383,Cobalt Chainsaw,1
384,Mythril Chainsaw,1
385,Cobalt Drill,1
386,Mythril Drill,1
387,Adamantite Chainsaw,1
388,Adamantite Drill,1
389,Dao of Pow,1
390,Mythril Halberd,1
391,Adamantite Bar,25
392,Glass Wall,400
393,Compass,1
394,Diving Gear,1
395,GPS,1
396,Obsidian Horseshoe,1
397,Obsidian Shield,1
398,Tinkerer's Workshop,1
399,Cloud in a Balloon,1
400,Adamantite Headgear,1
401,Adamantite Helmet,1
402,Adamantite Mask,1
403,Adamantite Breastplate,1
404,Adamantite Leggings,1
405,Spectre Boots,1
406,Adamantite Glaive,1
407,Toolbelt,1
408,Pearlsand Block,100
409,Pearlstone Block,100
410,Mining Shirt,1
411,Mining Pants,1
412,Pearlstone Brick,100
413,Iridescent Brick,100
414,Mudstone Brick,100
415,Cobalt Brick,100
416,Mythril Brick,100
417,Pearlstone Brick Wall,400
418,Iridescent Brick Wall,400
419,Mudstone Brick Wall,400
420,Cobalt Brick Wall,400
421,Mythril Brick Wall,400
422,Holy Water,99
423,Unholy Water,99
424,Silt Block,200
425,Fairy Bell,1
426,Breaker Blade,1
427,Blue Torch,100
428,Red Torch,100
429,Green Torch,100
430,Purple Torch,100
431,White Torch,100
432,Yellow Torch,100
433,Demon Torch,100
434,Clockwork Assault Rifle,1
435,Cobalt Repeater,1
436,Mythril Repeater,1
437,Dual Hook,1
438,Star Statue,1
439,Sword Statue,1
440,Slime Statue,1
441,Goblin Statue,1
442,Shield Statue,1
443,Bat Statue,1
444,Fish Statue,1
445,Bunny Statue,1
446,Skeleton Statue,1
447,Reaper Statue,1
448,Woman Statue,1
449,Imp Statue,1
450,Gargoyle Statue,1
451,Gloom Statue,1
452,Hornet Statue,1
453,Bomb Statue,1
454,Crab Statue,1
455,Hammer Statue,1
456,Potion Statue,1
457,Spear Statue,1
458,Cross Statue,1
459,Jellyfish Statue,1
460,Bow Statue,1
461,Boomerang Statue,1
462,Boot Statue,1
463,Chest Statue,1
464,Bird Statue,1
465,Axe Statue,1
466,Corrupt Statue,1
467,Tree Statue,1
468,Anvil Statue,1
469,Pickaxe Statue,1
470,Mushroom Statue,1
471,Eyeball Statue,1
472,Pillar Statue,1
473,Heart Statue,1
474,Pot Statue,1
475,Sunflower Statue,1
476,King Statue,1
477,Queen Statue,1
478,Piranha Statue,1
479,Planked Wall,400
480,Wooden Beam,50
481,Adamantite Repeater,1
482,Adamantite Sword,1
483,Cobalt Sword,1
484,Mythril Sword,1
485,Moon Charm,1
486,Ruler,1
487,Crystal Ball,1
488,Disco Ball,1
489,Sorcerer Emblem,1
490,Warrior Emblem,1
491,Ranger Emblem,1
492,Demon Wings,1
493,Angel Wings,1
494,Magical Harp,1
495,Rainbow Rod,1
496,Ice Rod,1
497,Neptune's Shell,1
498,Mannequin,1
499,Greater Healing Potion,30
500,Greater Mana Potion,30
501,Pixie Dust,25
502,Crystal Shard,25
503,Clown Hat,1
504,Clown Shirt,1
505,Clown Pants,1
506,Flamethrower,1
507,Bell,1
508,Harp,1
509,Red Wrench,1
510,Wire Cutter,1
511,Active Stone Block,100
512,Inactive Stone Block,100
513,Lever,5
514,Laser Rifle,1
515,Crystal Bullet,99
516,Holy Arrow,99
517,Magic Dagger,1
518,Crystal Storm,1
519,Cursed Flames,1
520,Soul of Light,25
521,Soul of Night,25
522,Cursed Flame,25
523,Cursed Torch,100
524,Adamantite Forge,1
525,Mythril Anvil,1
526,Unicorn Horn,5
527,Dark Shard,1
528,Light Shard,1
529,Red Pressure Plate,5
530,Wire,100
531,Spell Tome,1
532,Star Cloak,1
533,Megashark,1
534,Shotgun,1
535,Philosopher's Stone,1
536,Titan Glove,1
537,Cobalt Naginata,1
538,Switch,5
539,Dart Trap,5
540,Boulder,5
541,Green Pressure Plate,5
542,Gray Pressure Plate,5
543,Brown Pressure Plate,5
544,Mechanical Eye,3
545,Cursed Arrow,99
546,Cursed Bullet,99
547,Soul of Fright,25
548,Soul of Might,25
549,Soul of Sight,25
550,Gungnir,1
551,Hallowed Plate Mail,1
552,Hallowed Greaves,1
553,Hallowed Helmet,1
554,Cross Necklace,1
555,Mana Flower,1
556,Mechanical Worm,3
557,Mechanical Skull,3
558,Hallowed Headgear,1
559,Hallowed Mask,1
560,Slime Crown,3
561,Light Disc,1
562,Music Box (Overworld Day),1
563,Music Box (Eerie),1
564,Music Box (Night),1
565,Music Box (Title),1
566,Music Box (Underground),1
567,Music Box (Boss 1),1
568,Music Box (Jungle),1
569,Music Box (Corruption),1
570,Music Box (Underground Corruption),1
571,Music Box (The Hallow),1
572,Music Box (Boss 2),1
573,Music Box (Underground Hallow),1
574,Music Box (Boss 3),1
575,Soul of Flight,25
576,Music Box,1
577,Demonite Brick,100
578,Hallowed Repeater,1
579,Drax,1
580,Explosives,5
581,Inlet Pump,1
582,Outlet Pump,1
583,1 Second Timer,1
584,3 Second Timer,1
585,5 Second Timer,1
586,Candy Cane Block,100
587,Candy Cane Wall,400
588,Santa Hat,1
589,Santa Shirt,1
590,Santa Pants,1
591,Green Candy Cane Block,100
592,Green Candy Cane Wall,400
593,Snow Block,100
594,Snow Brick,100
595,Snow Brick Wall,400
596,Blue Light,25
597,Red Light,25
598,Green Light,25
602,Snow Globe,3
603,Carrot,1
604,Adamantite Beam,100
605,Adamantite Beam Wall,400
606,Demonite Brick Wall,400
607,Sandstone Brick,100
608,Sandstone Brick Wall,400
609,Ebonstone Brick,100
610,Ebonstone Brick Wall,400
611,Red Stucco,100
612,Yellow Stucco,100
613,Green Stucco,100
614,Gray Stucco,100
615,Red Stucco Wall,400
616,Yellow Stucco Wall,400
617,Green Stucco Wall,400
618,Gray Stucco Wall,400
619,Ebonwood,100
620,Rich Mahogany,100
621,Pearlwood,100
622,Ebonwood Wall,400
623,Rich Mahogany Wall,400
624,Pearlwood Wall,400
625,Ebonwood Chest,1
626,Rich Mahogany Chest,1
627,Pearlwood Chest,1
628,Ebonwood Chair,1
629,Rich Mahogany Chair,1
630,Pearlwood Chair,1
631,Ebonwood Platform,200
632,Rich Mahogany Platform,200
633,Pearlwood Platform,200
634,Bone Platform,200
635,Ebonwood Work Bench,1
636,Rich Mahogany Work Bench,1
637,Pearlwood Work Bench,1
638,Ebonwood Table,1
639,Rich Mahogany Table,1
640,Pearlwood Table,1
641,Ebonwood Piano,1
642,Rich Mahogany Piano,1
643,Pearlwood Piano,1
644,Ebonwood Bed,1
645,Rich Mahogany Bed,1
646,Pearlwood Bed,1
647,Ebonwood Dresser,1
648,Rich Mahogany Dresser,1
649,Pearlwood Dresser,1
650,Ebonwood Door,1
651,Rich Mahogany Door,1
652,Pearlwood Door,1
653,Ebonwood Sword,1
654,Ebonwood Hammer,1
655,Ebonwood Bow,1
656,Rich Mahogany Sword,1
657,Rich Mahogany Hammer,1
658,Rich Mahogany Bow,1
659,Pearlwood Sword,1
660,Pearlwood Hammer,1
661,Pearlwood Bow,1
662,Rainbow Brick,100
663,Rainbow Brick Wall,400
664,Ice Block,100
665,Red's Wings,1
666,Red's Helmet,1
667,Red's Breastplate,1
668,Red's Leggings,1
669,Fish,1
670,Ice Boomerang,1
671,Keybrand,1
672,Cutlass,1
673,Boreal Wood Work Bench,1
674,True Excalibur,1
675,True Night's Edge,1
676,Frostbrand,1
677,Boreal Wood Table,1
678,Red Potion,3
679,Tactical Shotgun,1
680,Ivy Chest,1
681,Frozen Chest,1
682,Marrow,1
683,Unholy Trident,1
684,Frost Helmet,1
685,Frost Breastplate,1
686,Frost Leggings,1
687,Tin Helmet,1
688,Tin Chainmail,1
689,Tin Greaves,1
690,Lead Helmet,1
691,Lead Chainmail,1
692,Lead Greaves,1
693,Tungsten Helmet,1
694,Tungsten Chainmail,1
695,Tungsten Greaves,1
696,Platinum Helmet,1
697,Platinum Chainmail,1
698,Platinum Greaves,1
699,Tin Ore,100
700,Lead Ore,100
701,Tungsten Ore,100
702,Platinum Ore,100
703,Tin Bar,25
704,Lead Bar,25
705,Tungsten Bar,25
706,Platinum Bar,25
707,Tin Watch,1
708,Tungsten Watch,1
709,Platinum Watch,1
710,Tin Chandelier,1
711,Tungsten Chandelier,1
712,Platinum Chandelier,1
713,Platinum Candle,1
714,Platinum Candelabra,1
715,Platinum Crown,1
716,Lead Anvil,1
717,Tin Brick,100
718,Tungsten Brick,100
719,Platinum Brick,100
720,Tin Brick Wall,400
721,Tungsten Brick Wall,400
722,Platinum Brick Wall,400
723,Beam Sword,1
724,Ice Blade,1
725,Ice Bow,1
726,Frost Staff,1
727,Wood Helmet,1
728,Wood Breastplate,1
729,Wood Greaves,1
730,Ebonwood Helmet,1
731,Ebonwood Breastplate,1
732,Ebonwood Greaves,1
733,Rich Mahogany Helmet,1
734,Rich Mahogany Breastplate,1
735,Rich Mahogany Greaves,1
736,Pearlwood Helmet,1
737,Pearlwood Breastplate,1
738,Pearlwood Greaves,1
739,Amethyst Staff,1
740,Topaz Staff,1
741,Sapphire Staff,1
742,Emerald Staff,1
743,Ruby Staff,1
744,Diamond Staff,1
745,Grass Wall,400
746,Jungle Wall,400
747,Flower Wall,400
748,Jetpack,1
749,Butterfly Wings,1
750,Cactus Wall,400
751,Cloud,100
752,Cloud Wall,400
753,Seaweed,1
754,Rune Hat,1
755,Rune Robe,1
756,Mushroom Spear,1
757,Terra Blade,1
758,Grenade Launcher,1
759,Rocket Launcher,1
760,Proximity Mine Launcher,1
761,Fairy Wings,1
762,Slime Block,100
763,Flesh Block,100
764,Mushroom Wall,400
765,Rain Cloud,100
766,Bone Block,100
767,Frozen Slime Block,100
768,Bone Block Wall,400
769,Slime Block Wall,400
770,Flesh Block Wall,400
771,Rocket I,99
772,Rocket II,99
773,Rocket III,99
774,Rocket IV,99
775,Asphalt Block,100
776,Cobalt Pickaxe,1
777,Mythril Pickaxe,1
778,Adamantite Pickaxe,1
779,Clentaminator,1
780,Green Solution,99
781,Blue Solution,99
782,Purple Solution,99
783,Dark Blue Solution,99
784,Red Solution,99
785,Harpy Wings,1
786,Bone Wings,1
787,Hammush,1
788,Nettle Burst,1
789,Ankh Banner,1
790,Snake Banner,1
791,Omega Banner,1
792,Crimson Helmet,1
793,Crimson Scalemail,1
794,Crimson Greaves,1
795,Blood Butcherer,1
796,Tendon Bow,1
797,Flesh Grinder,1
798,Deathbringer Pickaxe,1
799,Blood Lust Cluster,1
800,The Undertaker,1
801,The Meatball,1
802,The Rotted Fork,1
803,Snow Hood,1
804,Snow Coat,1
805,Snow Pants,1
806,Living Wood Chair,1
807,Cactus Chair,1
808,Bone Chair,1
809,Flesh Chair,1
810,Mushroom Chair,1
811,Bone Work Bench,1
812,Cactus Work Bench,1
813,Flesh Work Bench,1
814,Mushroom Work Bench,1
815,Slime Work Bench,1
816,Cactus Door,1
817,Flesh Door,1
818,Mushroom Door,1
819,Living Wood Door,1
820,Bone Door,1
821,Flame Wings,1
822,Frozen Wings,1
823,Spectre Wings,1
824,Sunplate Block,100
825,Disc Wall,400
826,Skyware Chair,1
827,Bone Table,1
828,Flesh Table,1
829,Living Wood Table,1
830,Skyware Table,1
831,Living Wood Chest,1
832,Living Wood Wand,1
833,Purple Ice Block,100
834,Pink Ice Block,100
835,Red Ice Block,100
836,Crimstone Block,100
837,Skyware Door,1
838,Skyware Chest,1
839,Steampunk Hat,1
840,Steampunk Shirt,1
841,Steampunk Pants,1
842,Bee Hat,1
843,Bee Shirt,1
844,Bee Pants,1
845,World Banner,1
846,Sun Banner,1
847,Gravity Banner,1
848,Pharaoh's Mask,1
849,Actuator,50
850,Blue Wrench,1
851,Green Wrench,1
852,Blue Pressure Plate,5
853,Yellow Pressure Plate,5
854,Discount Card,1
855,Lucky Coin,1
856,Unicorn on a Stick,1
857,Sandstorm in a Bottle,1
858,Boreal Wood Sofa,1
859,Beach Ball,1
860,Charm of Myths,1
861,Moon Shell,1
862,Star Veil,1
863,Water Walking Boots,1
864,Tiara,1
865,Princess Dress,1
866,Pharaoh's Robe,1
867,Green Cap,1
868,Mushroom Cap,1
869,Tam O' Shanter,1
870,Mummy Mask,1
871,Mummy Shirt,1
872,Mummy Pants,1
873,Cowboy Hat,1
874,Cowboy Jacket,1
875,Cowboy Pants,1
876,Pirate Hat,1
877,Pirate Shirt,1
878,Pirate Pants,1
879,Viking Helmet,1
880,Crimtane Ore,100
881,Cactus Sword,1
882,Cactus Pickaxe,1
883,Ice Brick,100
884,Ice Brick Wall,400
885,Adhesive Bandage,1
886,Armor Polish,1
887,Bezoar,1
888,Blindfold,1
889,Fast Clock,1
890,Megaphone,1
891,Nazar,1
892,Vitamins,1
893,Trifold Map,1
894,Cactus Helmet,1
895,Cactus Breastplate,1
896,Cactus Leggings,1
897,Power Glove,1
898,Lightning Boots,1
899,Sun Stone,1
900,Moon Stone,1
901,Armor Bracing,1
902,Medicated Bandage,1
903,The Plan,1
904,Countercurse Mantra,1
905,Coin Gun,1
906,Lava Charm,1
907,Obsidian Water Walking Boots,1
908,Lava Waders,1
909,Pure Water Fountain,1
910,Desert Water Fountain,1
911,Shadewood,100
912,Shadewood Door,1
913,Shadewood Platform,200
914,Shadewood Chest,1
915,Shadewood Chair,1
916,Shadewood Work Bench,1
917,Shadewood Table,1
918,Shadewood Dresser,1
919,Shadewood Piano,1
920,Shadewood Bed,1
921,Shadewood Sword,1
922,Shadewood Hammer,1
923,Shadewood Bow,1
924,Shadewood Helmet,1
925,Shadewood Breastplate,1
926,Shadewood Greaves,1
927,Shadewood Wall,400
928,Cannon,1
929,Cannonball,25
930,Flare Gun,1
931,Flare,99
932,Bone Wand,1
933,Leaf Wand,1
934,Flying Carpet,1
935,Avenger Emblem,1
936,Mechanical Glove,1
937,Land Mine,5
938,Paladin's Shield,1
939,Web Slinger,1
940,Jungle Water Fountain,1
941,Icy Water Fountain,1
942,Corrupt Water Fountain,1
943,Crimson Water Fountain,1
944,Hallowed Water Fountain,1
945,Blood Water Fountain,1
946,Umbrella,1
947,Chlorophyte Ore,100
948,Steampunk Wings,1
949,Snowball,99
950,Ice Skates,1
951,Snowball Launcher,1
952,Web Covered Chest,1
953,Climbing Claws,1
954,Ancient Iron Helmet,1
955,Ancient Gold Helmet,1
956,Ancient Shadow Helmet,1
957,Ancient Shadow Scalemail,1
958,Ancient Shadow Greaves,1
959,Ancient Necro Helmet,1
960,Ancient Cobalt Helmet,1
961,Ancient Cobalt Breastplate,1
962,Ancient Cobalt Leggings,1
963,Black Belt,1
964,Boomstick,1
965,Rope,100
966,Campfire,1
967,Marshmallow,5
968,Marshmallow on a Stick,5
969,Cooked Marshmallow,5
970,Red Rocket,5
971,Green Rocket,5
972,Blue Rocket,5
973,Yellow Rocket,5
974,Ice Torch,100
975,Shoe Spikes,1
976,Tiger Climbing Gear,1
977,Tabi,1
978,Pink Snow Hood,1
979,Pink Snow Coat,1
980,Pink Snow Pants,1
981,Pink Thread,5
982,Mana Regeneration Band,1
983,Sandstorm in a Balloon,1
984,Master Ninja Gear,1
985,Rope Coil,10
986,Blowgun,1
987,Blizzard in a Bottle,1
988,Frostburn Arrow,99
989,Enchanted Sword,1
990,Pickaxe Axe,1
991,Cobalt Waraxe,1
992,Mythril Waraxe,1
993,Adamantite Waraxe,1
994,Eater's Bone,1
995,Blend-O-Matic,1
996,Meat Grinder,1
997,Extractinator,1
998,Solidifier,1
999,Amber,15
1000,Confetti Gun,5
1001,Chlorophyte Mask,1
1002,Chlorophyte Helmet,1
1003,Chlorophyte Headgear,1
1004,Chlorophyte Plate Mail,1
1005,Chlorophyte Greaves,1
1006,Chlorophyte Bar,25
1007,Red Dye,3
1008,Orange Dye,3
1009,Yellow Dye,3
1010,Lime Dye,3
1011,Green Dye,3
1012,Teal Dye,3
1013,Cyan Dye,3
1014,Sky Blue Dye,3
1015,Blue Dye,3
1016,Purple Dye,3
1017,Violet Dye,3
1018,Pink Dye,3
1019,Red and Black Dye,3
1020,Orange and Black Dye,3
1021,Yellow and Black Dye,3
1022,Lime and Black Dye,3
1023,Green and Black Dye,3
1024,Teal and Black Dye,3
1025,Cyan and Black Dye,3
1026,Sky Blue and Black Dye,3
1027,Blue and Black Dye,3
1028,Purple and Black Dye,3
1029,Violet and Black Dye,3
1030,Pink and Black Dye,3
1031,Flame Dye,3
1032,Flame and Black Dye,3
1033,Green Flame Dye,3
1034,Green Flame and Black Dye,3
1035,Blue Flame Dye,3
1036,Blue Flame and Black Dye,3
1037,Silver Dye,3
1038,Bright Red Dye,3
1039,Bright Orange Dye,3
1040,Bright Yellow Dye,3
1041,Bright Lime Dye,3
1042,Bright Green Dye,3
1043,Bright Teal Dye,3
1044,Bright Cyan Dye,3
1045,Bright Sky Blue Dye,3
1046,Bright Blue Dye,3
1047,Bright Purple Dye,3
1048,Bright Violet Dye,3
1049,Bright Pink Dye,3
1050,Black Dye,3
1051,Red and Silver Dye,3
1052,Orange and Silver Dye,3
1053,Yellow and Silver Dye,3
1054,Lime and Silver Dye,3
1055,Green and Silver Dye,3
1056,Teal and Silver Dye,3
1057,Cyan and Silver Dye,3
1058,Sky Blue and Silver Dye,3
1059,Blue and Silver Dye,3
1060,Purple and Silver Dye,3
1061,Violet and Silver Dye,3
1062,Pink and Silver Dye,3
1063,Intense Flame Dye,3
1064,Intense Green Flame Dye,3
1065,Intense Blue Flame Dye,3
1066,Rainbow Dye,3
1067,Intense Rainbow Dye,3
1068,Yellow Gradient Dye,3
1069,Cyan Gradient Dye,3
1070,Violet Gradient Dye,3
1071,Paintbrush,1
1072,Paint Roller,1
1073,Red Paint,100
1074,Orange Paint,100
1075,Yellow Paint,100
1076,Lime Paint,100
1077,Green Paint,100
1078,Teal Paint,100
1079,Cyan Paint,100
1080,Sky Blue Paint,100
1081,Blue Paint,100
1082,Purple Paint,100
1083,Violet Paint,100
1084,Pink Paint,100
1085,Deep Red Paint,100
1086,Deep Orange Paint,100
1087,Deep Yellow Paint,100
1088,Deep Lime Paint,100
1089,Deep Green Paint,100
1090,Deep Teal Paint,100
1091,Deep Cyan Paint,100
1092,Deep Sky Blue Paint,100
1093,Deep Blue Paint,100
1094,Deep Purple Paint,100
1095,Deep Violet Paint,100
1096,Deep Pink Paint,100
1097,Black Paint,100
1098,White Paint,100
1099,Gray Paint,100
1100,Paint Scraper,1
1101,Lihzahrd Brick,100
1102,Lihzahrd Brick Wall,400
1103,Slush Block,200
1104,Palladium Ore,100
1105,Orichalcum Ore,100
1106,Titanium Ore,100
1107,Teal Mushroom,3
1108,Green Mushroom,3
1109,Sky Blue Flower,3
1110,Yellow Marigold,3
1111,Blue Berries,3
1112,Lime Kelp,3
1113,Pink Prickly Pear,3
1114,Orange Bloodroot,3
1115,Red Husk,3
1116,Cyan Husk,3
1117,Violet Husk,3
1118,Purple Mucus,3
1119,Black Ink,3
1120,Dye Vat,1
1121,Bee Gun,1
1122,Possessed Hatchet,1
1123,Bee Keeper,1
1124,Hive,100
1125,Honey Block,100
1126,Hive Wall,400
1127,Crispy Honey Block,100
1128,Honey Bucket,1
1129,Hive Wand,1
