Name,Internal name,ID,Category,Set
Tin Greaves,TinGreaves,689,Armor set,Tin armor
Tin Plating,TinPlating,2692,Armor set,Tin armor
Pumpkin Helmet,PumpkinHelmet,1731,Armor set,Pumpkin armor
Pumpkin Breastplate,PumpkinBreastplate,1732,Armor set,Pumpkin armor
Pumpkin Leggings,PumpkinLeggings,1733,Armor set,Pumpkin armor
Ninja Hood,NinjaHood,256,Armor set,Ninja armor
Ninja Shirt,NinjaShirt,257,Armor set,Ninja armor
Ninja Pants,NinjaPants,258,Armor set,Ninja armor
Iron Greaves,IronGreaves,77,Armor set,Iron armor
Iron Chainmail,IronChainmail,81,Armor set,Iron armor
Iron Helmet,IronHelmet,90,Armor set,Iron armor
Lead Helmet,LeadHelmet,690,Armor set,Lead armor
Lead Chainmail,LeadChainmail,691,Armor set,Lead armor
Lead Greaves,LeadGreaves,692,Armor set,Lead armor
Silver Greaves,SilverGreaves,78,Armor set,Silver armor
Silver Chainmail,SilverChainmail,82,Armor set,Silver armor
Silver Helmet,SilverHelmet,91,Armor set,Silver armor
Tungsten Helmet,TungstenHelmet,693,Armor set,Tungsten armor
Tungsten Chainmail,TungstenChainmail,694,Armor set,Tungsten armor
Tungsten Greaves,TungstenGreaves,695,Armor set,Tungsten armor
Gold Greaves,GoldGreaves,79,Armor set,Gold armor
Gold Chainmail,GoldChainmail,83,Armor set,Gold armor
Gold Helmet,GoldHelmet,92,Armor set,Gold armor
Platinum Helmet,PlatinumHelmet,696,Armor set,Platinum armor
Platinum Chainmail,PlatinumChainmail,697,Armor set,Platinum armor
Platinum Greaves,PlatinumGreaves,698,Armor set,Platinum armor
Fossil Helmet,FossilHelm,3374,Armor set,Fossil armor
Fossil Plate,FossilShirt,3375,Armor set,Fossil armor
Fossil Greaves,FossilPants,3376,Armor set,Fossil armor
Bee Headgear,BeeHeadgear,2361,Armor set,Bee armor
Bee Breastplate,BeeBreastplate,2362,Armor set,Bee armor
Bee Greaves,BeeGreaves,2363,Armor set,Bee armor
Obsidian Outlaw Hat,ObsidianHelm,3266,Armor set,Obsidian armor
Obsidian Longcoat,ObsidianShirt,3267,Armor set,Obsidian armor
Obsidian Pants,ObsidianPants,3268,Armor set,Obsidian armor
Gladiator Helmet,GladiatorHelmet,3187,Armor set,Gladiator armor
Gladiator Breastplate,GladiatorBreastplate,3188,Armor set,Gladiator armor
Gladiator Leggings,GladiatorLeggings,3189,Armor set,Gladiator armor
Meteor Helmet,MeteorHelmet,123,Armor set,Meteor armor
Meteor Suit,MeteorSuit,124,Armor set,Meteor armor
Meteor Leggings,MeteorLeggings,125,Armor set,Meteor armor
Jungle Hat,JungleHat,228,Armor set,Jungle armor
Jungle Shirt,JungleShirt,229,Armor set,Jungle armor
Jungle Pants,JunglePants,230,Armor set,Jungle armor
Ancient Cobalt Helmet,AncientCobaltHelmet,960,Armor set,Ancient Cobalt armor
Ancient Cobalt Breastplate,AncientCobaltBreastplate,961,Armor set,Ancient Cobalt armor
Ancient Cobalt Leggings,AncientCobaltLeggings,962,Armor set,Ancient Cobalt armor
Necro Helmet,NecroHelmet,151,Armor set,Necro armor
Necro Breastplate,NecroBreastplate,152,Armor set,Necro armor
Necro Greaves,NecroGreaves,153,Armor set,Necro armor
Shadow Greaves,ShadowGreaves,100,Armor set,Shadow armor
Shadow Scalemail,ShadowScalemail,101,Armor set,Shadow armor
Shadow Helmet,ShadowHelmet,102,Armor set,Shadow armor
Ancient Shadow Helmet,AncientShadowHelmet,956,Armor set,Ancient Shadow armor
Ancient Shadow Scalemail,AncientShadowScalemail,957,Armor set,Ancient Shadow armor
Ancient Shadow Greaves,AncientShadowGreaves,958,Armor set,Ancient Shadow armor
Crimson Helmet,CrimsonHelmet,792,Armor set,Crimson armor
Crimson Scalemail,CrimsonScalemail,793,Armor set,Crimson armor
Crimson Greaves,CrimsonGreaves,794,Armor set,Crimson armor
Molten Helmet,MoltenHelmet,231,Armor set,Molten armor
Molten Breastplate,MoltenBreastplate,232,Armor set,Molten armor
Molten Greaves,MoltenGreaves,233,Armor set,Molten armor
Prospector Helmet,UpgradedMiningHead,5588,Armor set,Prospector armor
Prospector Shirt,UpgradedMiningBody,5589,Armor set,Prospector armor
Prospector Pants,UpgradedMiningLegs,5590,Armor set,Prospector armor
Captain Hat,UpgradedFishingHead,5591,Armor set,Captain armor
Captain Vest,UpgradedFishingBody,5592,Armor set,Captain armor
Captain Pants,UpgradedFishingLegs,5593,Armor set,Captain armor
Pearlwood Helmet,PearlwoodHelmet,736,Armor set,Pearlwood armor
Pearlwood Breastplate,PearlwoodBreastplate,737,Armor set,Pearlwood armor
Pearlwood Greaves,PearlwoodGreaves,738,Armor set,Pearlwood armor
Spider Mask,SpiderMask,2370,Armor set,Spider armor
Spider Breastplate,SpiderBreastplate,2371,Armor set,Spider armor
Spider Greaves,SpiderGreaves,2372,Armor set,Spider armor
Cobalt Hat,CobaltHat,371,Armor set,Cobalt armor
Cobalt Helmet,CobaltHelmet,372,Armor set,Cobalt armor
Cobalt Mask,CobaltMask,373,Armor set,Cobalt armor
Cobalt Breastplate,CobaltBreastplate,374,Armor set,Cobalt armor
Cobalt Leggings,CobaltLeggings,375,Armor set,Cobalt armor
Palladium Mask,PalladiumMask,1205,Armor set,Palladium armor
Palladium Helmet,PalladiumHelmet,1206,Armor set,Palladium armor
Palladium Headgear,PalladiumHeadgear,1207,Armor set,Palladium armor
Palladium Breastplate,PalladiumBreastplate,1208,Armor set,Palladium armor
Palladium Leggings,PalladiumLeggings,1209,Armor set,Palladium armor
Mythril Hood,MythrilHood,376,Armor set,Mythril armor
Mythril Helmet,MythrilHelmet,377,Armor set,Mythril armor
Mythril Hat,MythrilHat,378,Armor set,Mythril armor
Mythril Chainmail,MythrilChainmail,379,Armor set,Mythril armor
Mythril Greaves,MythrilGreaves,380,Armor set,Mythril armor
Orichalcum Mask,OrichalcumMask,1210,Armor set,Orichalcum armor
Orichalcum Helmet,OrichalcumHelmet,1211,Armor set,Orichalcum armor
Orichalcum Headgear,OrichalcumHeadgear,1212,Armor set,Orichalcum armor
Orichalcum Breastplate,OrichalcumBreastplate,1213,Armor set,Orichalcum armor
Orichalcum Leggings,OrichalcumLeggings,1214,Armor set,Orichalcum armor
Adamantite Headgear,AdamantiteHeadgear,400,Armor set,Adamantite armor
Adamantite Helmet,AdamantiteHelmet,401,Armor set,Adamantite armor
Adamantite Mask,AdamantiteMask,402,Armor set,Adamantite armor
Adamantite Breastplate,AdamantiteBreastplate,403,Armor set,Adamantite armor
Adamantite Leggings,AdamantiteLeggings,404,Armor set,Adamantite armor
Titanium Mask,TitaniumMask,1215,Armor set,Titanium armor
Titanium Helmet,TitaniumHelmet,1216,Armor set,Titanium armor
Titanium Headgear,TitaniumHeadgear,1217,Armor set,Titanium armor
Titanium Breastplate,TitaniumBreastplate,1218,Armor set,Titanium armor
Titanium Leggings,TitaniumLeggings,1219,Armor set,Titanium armor
Crystal Assassin Hood,CrystalNinjaHelmet,4982,Armor set,Crystal Assassin armor
Crystal Assassin Shirt,CrystalNinjaChestplate,4983,Armor set,Crystal Assassin armor
Crystal Assassin Pants,CrystalNinjaLeggings,4984,Armor set,Crystal Assassin armor
Frost Helmet,FrostHelmet,684,Armor set,Frost armor
Frost Breastplate,FrostBreastplate,685,Armor set,Frost armor
Frost Leggings,FrostLeggings,686,Armor set,Frost armor
Forbidden Mask,AncientBattleArmorHat,3776,Armor set,Forbidden armor
Forbidden Robes,AncientBattleArmorShirt,3777,Armor set,Forbidden armor
Forbidden Treads,AncientBattleArmorPants,3778,Armor set,Forbidden armor
Squire's Great Helm,SquireGreatHelm,3800,Armor set,Squire armor
Squire's Plating,SquirePlating,3801,Armor set,Squire armor
Squire's Greaves,SquireGreaves,3802,Armor set,Squire armor
Monk's Bushy Brow Bald Cap,MonkBrows,3806,Armor set,Monk armor
Monk's Shirt,MonkShirt,3807,Armor set,Monk armor
Monk's Pants,MonkPants,3808,Armor set,Monk armor
Huntress's Wig,HuntressWig,3803,Armor set,Huntress armor
Huntress's Jerkin,HuntressJerkin,3804,Armor set,Huntress armor
Huntress's Pants,HuntressPants,3805,Armor set,Huntress armor
Apprentice's Hat,ApprenticeHat,3797,Armor set,Apprentice armor
Apprentice's Robe,ApprenticeRobe,3798,Armor set,Apprentice armor
Apprentice's Trousers,ApprenticeTrousers,3799,Armor set,Apprentice armor
Hallowed Plate Mail,HallowedPlateMail,551,Armor set,Hallowed armor
Hallowed Greaves,HallowedGreaves,552,Armor set,Hallowed armor
Hallowed Helmet,HallowedHelmet,553,Armor set,Hallowed armor
Hallowed Headgear,HallowedHeadgear,558,Armor set,Hallowed armor
Hallowed Mask,HallowedMask,559,Armor set,Hallowed armor
Hallowed Hood,HallowedHood,4873,Armor set,Hallowed armor
Ancient Hallowed Mask,AncientHallowedMask,4896,Armor set,Ancient Hallowed armor
Ancient Hallowed Helmet,AncientHallowedHelmet,4897,Armor set,Ancient Hallowed armor
Ancient Hallowed Headgear,AncientHallowedHeadgear,4898,Armor set,Ancient Hallowed armor
Ancient Hallowed Hood,AncientHallowedHood,4899,Armor set,Ancient Hallowed armor
Ancient Hallowed Plate Mail,AncientHallowedPlateMail,4900,Armor set,Ancient Hallowed armor
Ancient Hallowed Greaves,AncientHallowedGreaves,4901,Armor set,Ancient Hallowed armor
Chlorophyte Mask,ChlorophyteMask,1001,Armor set,Chlorophyte armor
Chlorophyte Helmet,ChlorophyteHelmet,1002,Armor set,Chlorophyte armor
Chlorophyte Headgear,ChlorophyteHeadgear,1003,Armor set,Chlorophyte armor
Chlorophyte Plate Mail,ChlorophytePlateMail,1004,Armor set,Chlorophyte armor
Chlorophyte Greaves,ChlorophyteGreaves,1005,Armor set,Chlorophyte armor
Chlorophyte Visor,ChlorophyteVisor,5524,Armor set,Chlorophyte armor
Turtle Helmet,TurtleHelmet,1316,Armor set,Turtle armor
Turtle Scale Mail,TurtleScaleMail,1317,Armor set,Turtle armor
Turtle Leggings,TurtleLeggings,1318,Armor set,Turtle armor
Tiki Mask,TikiMask,1159,Armor set,Tiki armor
Tiki Shirt,TikiShirt,1160,Armor set,Tiki armor
Tiki Pants,TikiPants,1161,Armor set,Tiki armor
Beetle Helmet,BeetleHelmet,2199,Armor set,Beetle armor
Beetle Scale Mail,BeetleScaleMail,2200,Armor set,Beetle armor
Beetle Shell,BeetleShell,2201,Armor set,Beetle armor
Beetle Leggings,BeetleLeggings,2202,Armor set,Beetle armor
Shroomite Headgear,ShroomiteHeadgear,1546,Armor set,Shroomite armor
Shroomite Mask,ShroomiteMask,1547,Armor set,Shroomite armor
Shroomite Helmet,ShroomiteHelmet,1548,Armor set,Shroomite armor
Shroomite Breastplate,ShroomiteBreastplate,1549,Armor set,Shroomite armor
Shroomite Leggings,ShroomiteLeggings,1550,Armor set,Shroomite armor
Shroomite Plating,ShroomitePlating,2794,Armor set,Shroomite armor
Spectre Hood,SpectreHood,1503,Armor set,Spectre armor
Spectre Robe,SpectreRobe,1504,Armor set,Spectre armor
Spectre Pants,SpectrePants,1505,Armor set,Spectre armor
Spectre Mask,SpectreMask,2189,Armor set,Spectre armor
Spooky Helmet,SpookyHelmet,1832,Armor set,Spooky armor
Spooky Breastplate,SpookyBreastplate,1833,Armor set,Spooky armor
Spooky Leggings,SpookyLeggings,1834,Armor set,Spooky armor
Valhalla Knight's Helm,SquireAltHead,3871,Armor set,Valhalla Knight armor
Valhalla Knight's Breastplate,SquireAltShirt,3872,Armor set,Valhalla Knight armor
Valhalla Knight's Greaves,SquireAltPants,3873,Armor set,Valhalla Knight armor
Shinobi Infiltrator's Helmet,MonkAltHead,3880,Armor set,Shinobi Infiltrator armor
Shinobi Infiltrator's Torso,MonkAltShirt,3881,Armor set,Shinobi Infiltrator armor
Shinobi Infiltrator's Pants,MonkAltPants,3882,Armor set,Shinobi Infiltrator armor
Red Riding Hood,HuntressAltHead,3877,Armor set,Red Riding armor
Red Riding Dress,HuntressAltShirt,3878,Armor set,Red Riding armor
Red Riding Leggings,HuntressAltPants,3879,Armor set,Red Riding armor
Dark Artist's Hat,ApprenticeAltHead,3874,Armor set,Dark Artist armor
Dark Artist's Robes,ApprenticeAltShirt,3875,Armor set,Dark Artist armor
Dark Artist's Leggings,ApprenticeAltPants,3876,Armor set,Dark Artist armor
Solar Flare Helmet,SolarFlareHelmet,2763,Armor set,Solar Flare armor
Solar Flare Breastplate,SolarFlareBreastplate,2764,Armor set,Solar Flare armor
Solar Flare Leggings,SolarFlareLeggings,2765,Armor set,Solar Flare armor
Vortex Helmet,VortexHelmet,2757,Armor set,Vortex armor
Vortex Breastplate,VortexBreastplate,2758,Armor set,Vortex armor
Vortex Leggings,VortexLeggings,2759,Armor set,Vortex armor
Nebula Helmet,NebulaHelmet,2760,Armor set,Nebula armor
Nebula Breastplate,NebulaBreastplate,2761,Armor set,Nebula armor
Nebula Leggings,NebulaLeggings,2762,Armor set,Nebula armor
Stardust Helmet,StardustHelmet,3381,Armor set,Stardust armor
Stardust Plate,StardustBreastplate,3382,Armor set,Stardust armor
Stardust Leggings,StardustLeggings,3383,Armor set,Stardust armor
Magic Hat,MagicHat,2275,Armor (single),
Wizard Hat,WizardHat,238,Armor (single),
Amethyst Robe,AmethystRobe,1282,Armor (single),
Topaz Robe,TopazRobe,1283,Armor (single),
Sapphire Robe,SapphireRobe,1284,Armor (single),
Emerald Robe,EmeraldRobe,1285,Armor (single),
Ruby Robe,RubyRobe,1286,Armor (single),
Amber Robe,AmberRobe,4256,Armor (single),
Diamond Robe,DiamondRobe,1287,Armor (single),
Mystic Robe,GypsyRobe,2279,Armor (single),
Empty Bucket,EmptyBucket,205,Armor (single),
Goggles,Goggles,37,Armor (single),
Green Cap,GreenCap,867,Armor (single),
Diving Helmet,DivingHelmet,268,Armor (single),
Night Vision Helmet,NightVisionHelmet,3109,Armor (single),
Ultrabright Helmet,UltrabrightHelmet,4008,Armor (single),
Viking Helmet,VikingHelmet,879,Armor (single),
Flinx Fur Coat,FlinxFurCoat,5068,Armor (single),
Gi,Gi,2277,Armor (single),
Djinn's Curse,DjinnsCurse,3770,Armor (single),
Moon Lord Legs,MoonLordLegs,5001,Armor (single),
Dead Man's Sweater,DeadMansSweater,5007,Armor (single),
