Image,Name,Damage,Damage type,Knockback,Critical chance,Use time,Rarity,Autoswing,HM,,ID,Internal name
Cascade item sprite,Cascade,27,Melee,4.3,4%,25,Orange (Rarity level: 3),❌,❌,180,3282,Cascade
Cattiva item sprite,Cattiva,9,Summon,2,-,15,Pink (Rarity level: 5),✔️,❌,1,5663,PalworldMinionCattiva
Celebration item sprite,Celebration,25,Ranged,4,4%,30,Yellow (Rarity level: 8),✔️,✔️,16,3546,FireworksLauncher
Celebration Mk2 item sprite,Celebration Mk2,50,Ranged,10,4%,6 (Insanely fast),,,,,3930,Celeb2
(see notes for more info),Red (Rarity level: 10),✔️,✔️,10,,,,,,,,
Chain Guillotines item sprite,Chain Guillotines,59,Melee,3.25,4%,14,Pink (Rarity level: 5),✔️,✔️,8,3012,ChainGuillotines
Chain Gun item sprite,Chain Gun,38,Ranged,1.75,4%,4,Yellow (Rarity level: 8),✔️,✔️,9,1929,ChainGun
Chain Knife item sprite,Chain Knife,12,Melee,3.5,4%,20,Blue (Rarity level: 1),❌,❌,25,1325,ChainKnife
Charged Blaster Cannon item sprite,Charged Blaster Cannon,100,Magic,2,4%,20,Yellow (Rarity level: 8),❌,✔️,10,2882,ChargedBlasterCannon
Chik item sprite,Chik,39,Melee,3.3,4%,25,Light Red (Rarity level: 4),❌,✔️,4,3283,Chik
Chlorophyte Chainsaw item sprite,Chlorophyte Chainsaw,50,Melee,4.6,4%,15,Lime (Rarity level: 7),❌,✔️,432,1232,ChlorophyteChainsaw
Chlorophyte Claymore item sprite,Chlorophyte Claymore,95,Melee,6,4%,26,Lime (Rarity level: 7),❌,✔️,552,1226,ChlorophyteClaymore
Chlorophyte Drill item sprite,Chlorophyte Drill,35,Melee,1,4%,15,Lime (Rarity level: 7),❌,✔️,432,1231,ChlorophyteDrill
Chlorophyte Greataxe item sprite,Chlorophyte Greataxe,70,Melee,7,4%,30,Lime (Rarity level: 7),✔️,✔️,432,1233,ChlorophyteGreataxe
Chlorophyte Jackhammer item sprite,Chlorophyte Jackhammer,45,Melee,5.2,4%,15,Lime (Rarity level: 7),❌,✔️,432,1262,ChlorophyteJackhammer
Chlorophyte Partisan item sprite,Chlorophyte Partisan,49,Melee,6.2,4%,23,Lime (Rarity level: 7),❌,✔️,360,1228,ChlorophytePartisan
Chlorophyte Pickaxe item sprite,Chlorophyte Pickaxe,40,Melee,5,4%,25,Lime (Rarity level: 7),✔️,✔️,432,1230,ChlorophytePickaxe
Chlorophyte Saber item sprite,Chlorophyte Saber,57,Melee,4,4%,16,Lime (Rarity level: 7),✔️,✔️,552,1227,ChlorophyteSaber
Chlorophyte Shotbow item sprite,Chlorophyte Shotbow,34,Ranged,2.75,4%,19,Lime (Rarity level: 7),✔️,✔️,480,1229,ChlorophyteShotbow
Chlorophyte Warhammer item sprite,Chlorophyte Warhammer,80,Melee,8,4%,35,Lime (Rarity level: 7),✔️,✔️,432,1234,ChlorophyteWarhammer
Christmas Tree Sword item sprite,Christmas Tree Sword,86,Melee,7,4%,23,Yellow (Rarity level: 8),✔️,✔️,10,1928,ChristmasTreeSword
Classy Cane item sprite,Classy Cane,40,Melee,3.5,4%,15,Orange (Rarity level: 3),❌,✔️,2,3351,TaxCollectorsStickOfDoom
Clinger Staff item sprite,Clinger Staff,43,Magic,8,4%,24,Pink (Rarity level: 5),✔️,✔️,8,3014,ClingerStaff
Clockwork Assault Rifle item sprite,Clockwork Assault Rifle,17,Ranged,0,4%,12,Light Red (Rarity level: 4),✔️,✔️,3,434,ClockworkAssaultRifle
Cobalt Chainsaw item sprite,Cobalt Chainsaw,23,Melee,2.75,4%,15,Light Red (Rarity level: 4),❌,✔️,18,383,CobaltChainsaw
Cobalt Drill item sprite,Cobalt Drill,10,Melee,0.5,4%,15,Light Red (Rarity level: 4),❌,✔️,18,385,CobaltDrill
Cobalt Naginata item sprite,Cobalt Naginata,44,Melee,4,4%,28,Light Red (Rarity level: 4),❌,✔️,90,537,CobaltNaginata
Cobalt Pickaxe item sprite,Cobalt Pickaxe,10,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,18,776,CobaltPickaxe
Cobalt Repeater item sprite,Cobalt Repeater,35,Ranged,1.5,4%,23,Light Red (Rarity level: 4),✔️,✔️,120,435,CobaltRepeater
Cobalt Sword item sprite,Cobalt Sword,40,Melee,5,4%,19,Light Red (Rarity level: 4),✔️,✔️,138,483,CobaltSword
Cobalt Waraxe item sprite,Cobalt Waraxe,33,Melee,5,4%,35,Light Red (Rarity level: 4),✔️,✔️,18,991,CobaltWaraxe
Cobwhip item sprite,Cobwhip,9,Summon,0.7,-,35,Blue (Rarity level: 1),❌,❌,150,5473,CobWhip
Code 1 item sprite,Code 1,21,Melee,3.25,4%,25,Green (Rarity level: 2),❌,❌,1,3262,Code1
Code 2 item sprite,Code 2,54,Melee,3.8,4%,25,Pink (Rarity level: 5),❌,✔️,5,3284,Code2
Coin Gun item sprite,Coin Gun,0,Ranged,2,4%,8,Light Purple (Rarity level: 6),✔️,✔️,6,905,CoinGun
Combat Wrench item sprite,Combat Wrench,25,Melee,3.5,4%,15,Green (Rarity level: 2),❌,❌,50,4818,CombatWrench
Constellation item sprite,Constellation,130,Summon,4,-,30,Red (Rarity level: 10),❌,✔️,10,5479,ConstellationWhip
Cool Whip item sprite,Cool Whip,45,Summon,1.5,-,30,Light Red (Rarity level: 4),❌,✔️,4,4911,CoolWhip
Copper Axe item sprite,Copper Axe,3,Melee,4.5,4%,30,White (Rarity level: 0),✔️,❌,80,3506,CopperAxe
Copper Bow item sprite,Copper Bow,6,Ranged,0,4%,29,White (Rarity level: 0),❌,❌,70,3504,CopperBow
Copper Broadsword item sprite,Copper Broadsword,9,Melee,5.5,4%,21,White (Rarity level: 0),❌,❌,90,3508,CopperBroadsword
Copper Hammer item sprite,Copper Hammer,4,Melee,5.5,4%,33,White (Rarity level: 0),✔️,❌,80,3505,CopperHammer
Copper Pickaxe item sprite,Copper Pickaxe,4,Melee,2,4%,23,White (Rarity level: 0),✔️,❌,1,3509,CopperPickaxe
Copper Shortsword item sprite,Copper Shortsword,5,Melee,4,4%,13,White (Rarity level: 0),❌,❌,70,3507,CopperShortsword
Crimson Rod item sprite,Crimson Rod,12,Magic,0,4%,24,Blue (Rarity level: 1),❌,❌,150,1256,CrimsonRod
Crystal Serpent item sprite,Crystal Serpent,40,Magic,4.4,4%,29,Pink (Rarity level: 5),✔️,✔️,4,3209,CrystalSerpent
Crystal Storm item sprite,Crystal Storm,35,Magic,5,4%,7,Light Red (Rarity level: 4),✔️,✔️,4,518,CrystalStorm
Crystal Vile Shard item sprite,Crystal Vile Shard,25,Magic,3,4%,33,Pink (Rarity level: 5),✔️,✔️,8,3051,CrystalVileShard
Cursed Flames item sprite,Cursed Flames,55,Magic,6.5,4%,15,Light Red (Rarity level: 4),✔️,✔️,4,519,CursedFlames
Cutlass item sprite,Cutlass,53,Melee,4,4%,16,Light Red (Rarity level: 4),✔️,✔️,360,672,Cutlass
Daedalus Stormbow item sprite,Daedalus Stormbow,38,Ranged,2.25,4%,19,Light Purple (Rarity level: 6),✔️,✔️,8,3029,DaedalusStormbow
Dao of Pow item sprite,Dao of Pow,100,Melee,6,4%,45,Pink (Rarity level: 5),❌,✔️,288,389,DaoofPow
Dark Harvest item sprite,Dark Harvest,110,Summon,3,-,27,Yellow (Rarity level: 8),❌,✔️,10,4680,ScytheWhip
Dark Lance item sprite,Dark Lance,34,Melee,5,4%,22,Orange (Rarity level: 3),❌,❌,250,274,DarkLance
Dart Pistol item sprite,Dart Pistol,28,Ranged,3.5,4%,22,Pink (Rarity level: 5),✔️,✔️,8,3007,DartPistol
Dart Rifle item sprite,Dart Rifle,52,Ranged,5.5,4%,38,Pink (Rarity level: 5),✔️,✔️,8,3008,DartRifle
Daybreak item sprite,Daybreak,150,Melee,5,4%,16,Red (Rarity level: 10),✔️,✔️,10,3543,DayBreak
Deadly Sphere Staff item sprite,Deadly Sphere Staff,55,Summon,2,-,36,Yellow (Rarity level: 8),✔️,✔️,10,3249,DeadlySphereStaff
Death Sickle item sprite,Death Sickle,57,Melee,5,4%,25,Light Purple (Rarity level: 6),✔️,✔️,750,1327,DeathSickle
Deathbringer Pickaxe item sprite,Deathbringer Pickaxe,12,Melee,3.5,4%,22,Blue (Rarity level: 1),✔️,❌,36,798,DeathbringerPickaxe
Demon Bow item sprite,Demon Bow,14,Ranged,1,4%,25,Blue (Rarity level: 1),❌,❌,36,44,DemonBow
Demon Scythe item sprite,Demon Scythe,35,Magic,5,4%,20,Orange (Rarity level: 3),❌,❌,150,272,DemonScythe
Desert Tiger Staff item sprite,Desert Tiger Staff,41,Summon,4,-,36,Yellow (Rarity level: 8),✔️,✔️,20,4607,StormTigerStaff
Diamond Staff item sprite,Diamond Staff,23,Magic,5.5,4%,26,Green (Rarity level: 2),✔️,❌,60,744,DiamondStaff
Dirt Bomb item sprite,Dirt Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,1,4908,DirtBomb
Drax item sprite,Drax,35,Melee,4.75,4%,15,Light Red (Rarity level: 4),❌,✔️,440,579,Drax
Drippler Crippler item sprite,Drippler Crippler,110,Melee,6.5,4%,40,Light Red (Rarity level: 4),❌,✔️,4,4272,DripplerFlail
Dry Bomb item sprite,Dry Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,5,4827,DryBomb
Durendal item sprite,Durendal,55,Summon,2,-,28,Pink (Rarity level: 5),❌,✔️,460,4678,SwordWhip
Dynamite item sprite,Dynamite,250,-,10,-,40,Blue (Rarity level: 1),❌,❌,4,167,Dynamite
Ebonwood Bow item sprite,Ebonwood Bow,8,Ranged,0,4%,28,White (Rarity level: 0),❌,❌,20,655,EbonwoodBow
Ebonwood Hammer item sprite,Ebonwood Hammer,7,Melee,5.5,4%,30,White (Rarity level: 0),✔️,❌,10,654,EbonwoodHammer
Ebonwood Sword item sprite,Ebonwood Sword,11,Melee,6,4%,19,White (Rarity level: 0),❌,❌,20,653,EbonwoodSword
Electric Eel item sprite,Electric Eel,150,Summon,3,-,30,Yellow (Rarity level: 8),❌,✔️,5,5478,EelWhip
Electrosphere Launcher item sprite,Electrosphere Launcher,40,Ranged,2,4%,12,Yellow (Rarity level: 8),❌,✔️,10,2796,ElectrosphereLauncher
Elf Melter item sprite,Elf Melter,57,Ranged,0.425,4%,30,Yellow (Rarity level: 8),✔️,✔️,10,1910,ElfMelter
Emerald Staff item sprite,Emerald Staff,19,Magic,4.25,4%,32,Blue (Rarity level: 1),✔️,❌,30,742,EmeraldStaff
Enchanted Boomerang item sprite,Enchanted Boomerang,17,Melee,8,4%,20,Blue (Rarity level: 1),❌,❌,1,55,EnchantedBoomerang
Enchanted Sword item sprite,Enchanted Sword,23,Melee,4.25,4%,21,Green (Rarity level: 2),✔️,❌,3,989,EnchantedSword
Eventide item sprite,Eventide,50,Ranged,2,4%,30,Yellow (Rarity level: 8),✔️,✔️,5,4953,FairyQueenRangedItem
Excalibur item sprite,Excalibur,72,Melee,4.5,4%,20,Pink (Rarity level: 5),✔️,✔️,460,368,Excalibur
Exotic Scimitar item sprite,Exotic Scimitar,20,Melee,4.25,4%,18,Green (Rarity level: 2),❌,❌,50,3349,DyeTradersScimitar
Explosive Trap Cane item sprite,Explosive Trap Cane,59,Summon,0.5,-,30,Pink (Rarity level: 5),❌,✔️,5,3833,DD2ExplosiveTrapT2Popper
Explosive Trap Rod item sprite,Explosive Trap Rod,24,Summon,0.5,-,30,Orange (Rarity level: 3),❌,❌,1,3832,DD2ExplosiveTrapT1Popper
Explosive Trap Staff item sprite,Explosive Trap Staff,126,Summon,0.5,-,30,Yellow (Rarity level: 8),❌,✔️,15,3834,DD2ExplosiveTrapT3Popper
Falcon Blade item sprite,Falcon Blade,25,Melee,6,4%,20,Light Red (Rarity level: 4),✔️,❌,20,2608,FalconBlade
Fetid Baghnakhs item sprite,Fetid Baghnakhs,60,Melee,6,4%,8,Pink (Rarity level: 5),✔️,✔️,8,3013,FetidBaghnakhs
Finch Staff item sprite,Finch Staff,7,Summon,4,-,36,Blue (Rarity level: 1),✔️,❌,1,4281,BabyBirdStaff
Firecracker item sprite,Firecracker,37,Summon,2,-,30,Light Red (Rarity level: 4),❌,✔️,3,4912,FireWhip
Flairon item sprite,Flairon,132,Melee,4.5,4%,20,Yellow (Rarity level: 8),✔️,✔️,5,5526,FlaironFlail
Flairoon item sprite,Flairoon,66,Melee,4.5,4%,20,Yellow (Rarity level: 8),✔️,✔️,5,2611,Flairon
Flamarang item sprite,Flamarang,49,Melee,8,4%,20,Orange (Rarity level: 3),❌,❌,2,119,Flamarang
Flameburst Cane item sprite,Flameburst Cane,42,Summon,3,-,30,Pink (Rarity level: 5),❌,✔️,5,3819,DD2FlameburstTowerT2Popper
Flameburst Rod item sprite,Flameburst Rod,17,Summon,3,-,30,Orange (Rarity level: 3),❌,❌,1,3818,DD2FlameburstTowerT1Popper
Flameburst Staff item sprite,Flameburst Staff,88,Summon,3,-,30,Yellow (Rarity level: 8),❌,✔️,15,3820,DD2FlameburstTowerT3Popper
Flamelash item sprite,Flamelash,32,Magic,6.5,4%,30,Orange (Rarity level: 3),❌,❌,250,218,Flamelash
Flamethrower item sprite,Flamethrower,35,Ranged,0.3,4%,30,Pink (Rarity level: 5),✔️,✔️,10,506,Flamethrower
Flaming Mace item sprite,Flaming Mace,18,Melee,4.6,4%,45,Blue (Rarity level: 1),❌,❌,2,5012,FlamingMace
Flare Gun item sprite,Flare Gun,2,-,0,-,18,Blue (Rarity level: 1),❌,❌,1,930,FlareGun
Flesh Grinder item sprite,Flesh Grinder,23,Melee,6,4%,40,Blue (Rarity level: 1),✔️,❌,30,797,FleshGrinder
Flint item sprite,Flint,70,Melee,5,4%,15,Light Red (Rarity level: 4),✔️,✔️,4,5462,DeadCellsFlint
Flintlock Pistol item sprite,Flintlock Pistol,13,Ranged,1,10%,16,Blue (Rarity level: 1),❌,❌,1,95,FlintlockPistol
Flinx Staff item sprite,Flinx Staff,8,Summon,2,-,36,Orange (Rarity level: 3),✔️,❌,50,5069,FlinxStaff
Flower of Fire item sprite,Flower of Fire,48,Magic,5.5,4%,16,Orange (Rarity level: 3),❌,❌,250,112,FlowerofFire
Flower of Frost item sprite,Flower of Frost,60,Magic,6.5,4%,12,Pink (Rarity level: 5),❌,✔️,5,1264,FlowerofFrost
Flower Pow item sprite,Flower Pow,130,Melee,6.5,4%,40,Lime (Rarity level: 7),❌,✔️,6,1259,FlowerPow
Flying Dragon item sprite,Flying Dragon,180,Melee,5.5,4%,20,Yellow (Rarity level: 8),✔️,✔️,5,3827,DD2SquireBetsySword
Flying Knife item sprite,Flying Knife,40,Melee,4.5,4%,15,Light Purple (Rarity level: 6),❌,✔️,8,3030,FlyingKnife
Flymeal item sprite,Flymeal,15,Melee,5,4%,17,Green (Rarity level: 2),❌,❌,35,5129,Flymeal
Format:C item sprite,Format:C,39,Melee,3.25,4%,25,Orange (Rarity level: 3),❌,✔️,4,3315,FormatC
Fossil Pickaxe item sprite,Fossil Pickaxe,8,Melee,4,4%,18,Blue (Rarity level: 1),✔️,❌,30,4059,FossilPickaxe
Foxparks item sprite,Foxparks,20,Summon,3,-,15,Light Red (Rarity level: 4),✔️,❌,1,5664,PalworldMinionFoxsparks
Freeze Bomb item sprite,Freeze Bomb,0 (to enemies),,,,,,,,,5542,FreezeBomb
1 (to user),-,12,-,25,Blue (Rarity level: 1),❌,❌,2,,,,
Frost Daggerfish item sprite,Frost Daggerfish,17,Ranged,3.5,4%,13,Blue (Rarity level: 1),❌,❌,16,3197,FrostDaggerfish
Frost Staff item sprite,Frost Staff,46,Magic,5,4%,12,Pink (Rarity level: 5),✔️,✔️,4,726,FrostStaff
Frostbrand item sprite,Frostbrand,49,Melee,4.5,4%,23,Pink (Rarity level: 5),✔️,✔️,5,676,Frostbrand
Fruitcake Chakram item sprite,Fruitcake Chakram,19,Melee,8,4%,15,Blue (Rarity level: 1),❌,❌,1,1918,FruitcakeChakram
Gatligator item sprite,Gatligator,21,Ranged,1.5,4%,7,Light Red (Rarity level: 4),✔️,✔️,7,2270,Gatligator
Ghastly Glaive item sprite,Ghastly Glaive,45,Melee,7,4%,27,Pink (Rarity level: 5),❌,✔️,1,3836,MonkStaffT2
Gladius item sprite,Gladius,15,Melee,3,4%,18,Blue (Rarity level: 1),❌,❌,30,4463,Gladius
Gold Axe item sprite,Gold Axe,7,Melee,4.5,4%,26,White (Rarity level: 0),✔️,❌,16,3518,GoldAxe
Gold Bow item sprite,Gold Bow,11,Ranged,0,4%,26,White (Rarity level: 0),❌,❌,14,3516,GoldBow
